player.name,season,player.team.code,player.team.tvCodes,player.team.name,minutesPlayed,cluster,cluster_prob_max,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,Height,offensiveReboundsPercentage,defensiveReboundsPercentage,assistsRatio,turnoversRatio,blocks,steals,pointsScored,usageProxy,pir,freeThrowsRate,freeThrowsPercentage,fieldGoalsAttempted,twoPointersPercentage,threePointersPercentage,3FGA_Pct,Corner_3FGA_Pct,0_1m_FGA_Pct,1_3.5m_FGA_Pct,3.5m_3pt_FGA_Pct
"EDDIE, JARELL",2020,ULK,FNB,Fenerbahce Beko Istanbul,16.986458333333335,0,0.999999999999992,0.999999999999992,1.3173018491868246e-15,7.089723770980561e-15,0.0,200.99999999999997,0.02,0.134,0.072,0.122,2.2,5.0,104.9,0.3296743729686637,74.9,0.154,0.905,75.5,0.5,0.449,72.06,9.18,2.94,13.97,11.03
"MILAKNIS, ARTURAS",2020,ZAL,ZAL,Zalgiris Kaunas,18.545333333333332,0,1.0,1.0,2.3637433369674168e-27,2.7089910734334523e-22,0.0,195.0,0.009,0.062,0.126,0.077,1.4,9.1,104.7,0.3073549500323532,78.2,0.045,1.0,78.3,0.483,0.47,74.11,30.12,0.0,17.86,8.04
"JAGODIC-KURIDZA, MARKO",2020,RED,CZV,Crvena Zvezda Meridianbet Belgrade,18.7093137254902,2,0.9399960954622342,0.06000390453569672,2.0695813297107775e-12,0.9399960954622342,0.0,204.99999999999997,0.07,0.13,0.175,0.102,1.4,6.0,68.3,0.3420756150601304,71.1,0.288,0.775,64.2,0.382,0.351,26.62,54.05,7.91,53.96,11.51
"FERNANDEZ, RUDY",2020,MAD,RMB,Real Madrid,15.435714285714283,0,0.9999999999416236,0.9999999999416236,5.83758268882742e-11,2.0493237513602104e-16,0.0,196.0,0.008,0.079,0.1689999999999999,0.079,1.5,6.9,76.8,0.4664507172605276,63.0,0.089,0.846,72.4,0.316,0.346,86.99,2.36,0.0,8.9,4.11
"RIVERS, KC",2020,DYR,ZEN,Zenit St Petersburg,22.307657657657657,0,1.0,1.0,7.376831173858191e-22,6.679718123610637e-20,0.0,196.0,0.034,0.111,0.096,0.0579999999999999,1.2,7.7,87.0,0.3137935908567736,64.7,0.051,0.455,82.7,0.481,0.355,64.19,16.67,2.79,17.21,15.81
"TARCZEWSKI, KALEB",2020,MIL,AXM,EA7 Emporio Armani Milan,13.407264957264957,3,0.9999999999997211,2.4290999345371425e-101,1.8868315041293535e-171,2.7877843136895664e-13,0.9999999999997211,213.0,0.124,0.148,0.075,0.185,8.7,6.9,89.8,0.3281802824084404,103.1,0.439,0.66,62.0,0.579,0.0,0.0,0.0,37.38,55.14,7.48
"SISKO, ZAN MARK",2020,MUN,BAY,FC Bayern Munich,17.227604166666666,1,0.9999999996046665,3.953344507297783e-10,0.9999999996046665,1.397571996236761e-22,0.0,189.0,0.0409999999999999,0.061,0.4029999999999999,0.109,0.4,10.2,52.0,0.4817849260815673,55.4,0.08,0.8,47.099999999999994,0.473,0.392,40.8,9.8,4.0,45.6,9.6
"VIVES, GUILLEM",2020,PAM,VBC,Valencia Basket,18.091666666666665,0,0.9978189865775912,0.9978189865775912,0.002180635222285404,3.7820012337871776e-07,0.0,192.0,0.017,0.087,0.322,0.153,1.6,12.6,64.5,0.3869184707508061,65.6,0.18,0.688,48.7,0.611,0.396,59.55,7.55,11.24,22.47,6.74
"SIMONOVIC, MARKO",2020,RED,CZV,Crvena Zvezda Meridianbet Belgrade,18.631159420289855,0,0.9999999894945031,0.9999999894945031,1.050549540931979e-08,7.415523865141701e-16,0.0,202.99999999999997,0.018,0.145,0.089,0.073,0.0,4.9,99.0,0.2898370347322158,86.8,0.223,0.7140000000000001,76.3,0.371,0.4579999999999999,62.77,16.95,2.13,27.66,7.45
"ABRINES, ALEX",2020,BAR,FCB,FC Barcelona,18.7017094017094,0,1.0,1.0,3.8031373289187504e-17,1.1464027948425105e-17,0.0,198.0,0.039,0.0819999999999999,0.1119999999999999,0.0559999999999999,3.4,9.5,101.9,0.3208262876468168,78.2,0.172,0.903,77.4,0.44,0.423,72.22,11.54,1.67,17.78,8.33
"ULANOVAS, EDGARAS",2020,ULK,FNB,Fenerbahce Beko Istanbul,19.57857142857143,0,0.9979022163280475,0.9979022163280475,0.0020418204052861924,5.596326666687395e-05,0.0,199.0,0.035,0.07,0.233,0.128,0.6,4.1,72.7,0.3115651222181685,76.2,0.176,0.722,59.400000000000006,0.516,0.4,39.22,32.5,3.92,50.0,6.86
"MONIA, SERGEY",2020,KHI,KHI,BC Khimki,22.67948717948718,0,1.0,1.0,5.098197016885967e-66,1.5972303420131693e-33,0.0,202.99999999999997,0.04,0.125,0.2339999999999999,0.131,6.9,9.1,73.7,0.2954211418880724,69.7,0.0,0.0,63.4,0.45,0.407,81.98,18.68,1.8,9.01,7.21
"SPANOULIS, VASSILIS",2020,OLY,OLY,Olympiacos Piraeus,17.272058823529413,1,0.9999999723653431,1.687198822209652e-08,0.9999999723653431,1.0762668901921015e-08,0.0,193.0,0.015,0.0969999999999999,0.235,0.173,0.0,4.9,55.8,0.6600255427841635,41.3,0.291,0.644,52.4,0.4579999999999999,0.283,59.11,10.0,1.48,31.53,7.88
"HANGA, ADAM",2020,BAR,FCB,FC Barcelona,15.898373983739836,0,0.9995937778214329,0.9995937778214329,3.108334312390922e-06,0.00040311384425481057,0.0,200.0,0.044,0.124,0.228,0.158,3.6,10.6,62.7,0.4654564050115061,65.4,0.1989999999999999,0.647,56.4,0.475,0.3429999999999999,40.94,17.14,12.28,39.77,7.02
"KURBANOV, NIKITA",2020,CSK,CSK,CSKA Moscow,22.053846153846155,2,0.9992157429286603,0.0007842570713403624,6.410419193812233e-29,0.9992157429286603,0.0,202.0,0.0409999999999999,0.103,0.172,0.146,6.6,12.1,80.2,0.2312521799790721,95.4,0.331,0.718,59.5,0.62,0.3379999999999999,57.63,38.24,10.17,19.49,12.71
"JOHNSON, JAJUAN",2020,MUN,BAY,FC Bayern Munich,14.189035087719295,2,1.0,3.2503030635425555e-65,1.6860506131428326e-80,1.0,0.0,206.99999999999997,0.073,0.185,0.061,0.107,8.1,7.1,82.7,0.3664801706284196,94.9,0.213,0.7809999999999999,76.19999999999999,0.483,0.0,4.67,14.29,8.67,31.33,55.33
"SAN EMETERIO, FERNANDO",2020,PAM,VBC,Valencia Basket,13.28263888888889,0,0.9859111368042727,0.9859111368042727,0.013146082814539058,0.0009427803811874965,0.0,199.0,0.042,0.086,0.207,0.073,0.0,5.3,78.8,0.4667747163695299,79.4,0.2019999999999999,0.95,66.1,0.462,0.362,47.47,17.02,12.12,30.3,10.1
"MACK, SHELVIN",2020,PAN,PAO,Panathinaikos AKTOR Athens,16.476282051282052,1,0.999832614174068,0.00016738582539836612,0.999832614174068,5.33726632873377e-13,0.0,193.0,0.019,0.069,0.285,0.158,0.4,7.3,60.1,0.6069330428354667,49.7,0.237,0.742,50.400000000000006,0.408,0.417,45.8,20.0,5.34,39.69,9.16
