player.name,season,player.team.code,player.team.tvCodes,player.team.name,minutesPlayed,Height,offensiveReboundsPercentage,defensiveReboundsPercentage,assistsRatio,turnoversRatio,blocks,steals,pointsScored,usageProxy,pir,freeThrowsRate,freeThrowsPercentage,fieldGoalsAttempted,twoPointersPercentage,threePointersPercentage,3FGA_Pct,Corner_3FGA_Pct,0_1m_FGA_Pct,1_3.5m_FGA_Pct,3.5m_3pt_FGA_Pct
"STRELNIEKS, JANIS",2020,CSK,CSK,CSKA Moscow,13.816666666666666,191.0,0.01,0.067,0.258,0.08800000000000001,0.0,5.0,72.3,0.44149577804583834,51.5,0.14300000000000002,0.643,61.599999999999994,0.46,0.41700000000000004,48.98,25.0,4.08,28.57,18.37
"BROOKS, JEFF",2020,MIL,AXM,EA7 Emporio Armani Milan,12.5859375,202.99999999999997,0.073,0.14,0.23199999999999998,0.084,12.7,7.4,70.7,0.2383612662942272,108.7,0.22,0.6920000000000001,62.199999999999996,0.424,0.385,44.07,26.92,10.17,22.03,23.73
"WESTERMANN, LEO",2020,BAR;ULK,FCB;FNB,FC Barcelona;Fenerbahce Beko Istanbul,11.62152777777778,198.0,0.013999999999999999,0.142,0.312,0.182,0.0,6.5,54.6,0.550702121302659,51.4,0.151,0.818,47.5,0.444,0.37,63.01,13.04,0.0,24.66,12.33
"ALOCEN, CARLOS",2020,MAD,RMB,Real Madrid,13.4,194.0,0.01,0.11199999999999999,0.29100000000000004,0.19,0.9,2.8,50.9,0.5746268656716418,43.0,0.11199999999999999,0.583,49.4,0.515,0.282,36.45,10.26,2.8,45.79,14.95
"RADOSEVIC, LEON",2020,MUN,BAY,FC Bayern Munich,13.814864864864864,208.0,0.055,0.132,0.129,0.146,1.7,7.3,69.7,0.347451824317715,69.1,0.212,0.6,66.3,0.45799999999999996,0.318,18.64,0.0,5.08,42.37,33.9
"LARENTZAKIS, GIANNOULIS",2020,OLY,OLY,Olympiacos Piraeus,12.423809523809522,196.0,0.019,0.145,0.213,0.149,0.0,12.1,66.7,0.5392870831736298,52.5,0.316,0.76,56.0,0.429,0.32799999999999996,73.42,24.14,2.53,20.25,3.8
"ROLL, MICHAEL",2020,MIL,AXM,EA7 Emporio Armani Milan,14.319907407407406,198.0,0.012,0.095,0.226,0.084,1.1,8.4,80.0,0.37011412498787627,67.4,0.071,0.889,66.8,0.466,0.435,54.33,18.84,0.0,18.11,27.56
"MORASCHINI, RICCARDO",2020,MIL,AXM,EA7 Emporio Armani Milan,11.004166666666668,194.0,0.009000000000000001,0.175,0.252,0.145,0.0,8.7,72.6,0.39076107535024607,86.1,0.56,0.643,48.400000000000006,0.414,0.524,42.0,14.29,8.0,32.0,18.0
"BOCHORIDIS, ELEFTHERIOS",2020,PAN,PAO,Panathinaikos AKTOR Athens,15.868279569892474,196.0,0.033,0.10800000000000001,0.261,0.168,1.9,9.0,53.0,0.5230560731831272,47.9,0.31,0.775,50.3,0.375,0.298,44.19,12.28,1.55,44.19,10.08
"REATH, DUOP",2020,RED,CZV,Crvena Zvezda Meridianbet Belgrade,13.321739130434782,211.0,0.069,0.113,0.048,0.077,6.7,3.9,106.9,0.33779373368146215,89.6,0.128,0.818,82.8,0.652,0.35,46.51,15.0,12.79,34.88,5.81
